Generacion,Tipo,Energia (MeV)
0,electron,411.26916822218027
0,positron,588.7308317778197
1,gamma,195.88755416530995
1,electron,215.38161405687032
1,gamma,588.7308317778197
2,electron,117.3844080357691
2,positron,78.50314612954085
2,gamma,119.72664056937123
2,electron,95.65497348749909
2,electron,179.25375409220297
2,positron,409.47707768561673
3,gamma,72.24560737079732
3,electron,45.13880066497178
3,electron,66.72427475193396
3,positron,53.002365817437266
3,gamma,46.57793903842889
3,electron,49.077034449070204
3,gamma,99.79532673079828
3,electron,79.45842736140469
4,electron,43.632008441470184
4,positron,28.613598929327132
4,gamma,24.452158728877585
4,electron,20.686641936094198
4,gamma,25.295801459803783
4,electron,41.42847329213018
4,electron,28.142838044155365
4,positron,18.435100994273522
4,gamma,31.70714388081071
4,electron,17.369890568259496
4,electron,40.24889039759014
4,positron,59.54643633320814
4,gamma,37.691747766102814
4,electron,41.76667959530187
5,gamma,23.401188735373136
5,electron,20.230819706097048
5,gamma,28.613598929327132
5,electron,9.534462503184482
5,positron,14.917696225693103
5,gamma,10.655192584878906
5,electron,10.031449351215292
5,electron,12.795975725990548
5,positron,12.499825733813235
5,gamma,17.573463720088213
5,electron,23.855009572041965
5,gamma,19.352322780819733
5,electron,8.790515263335632
5,electron,20.44375976968685
5,positron,11.263384111123859
5,gamma,10.264370911632527
5,electron,7.105519656626969
5,gamma,13.202308097258106
5,electron,27.046582300332034
5,electron,17.420212345029
5,positron,20.271535421073814
5,gamma,21.202901913428953
5,electron,20.56377768187292
6,electron,15.842691236879032
6,positron,7.558497498494104
6,gamma,12.576567408473498
6,electron,7.65425229762355
6,electron,18.3604950262334
6,positron,10.25310390309373
6,gamma,3.916433938906686
6,electron,5.618028564277797
6,electron,6.230867892830201
6,positron,4.424324692048705
6,gamma,3.1468592596254816
6,electron,6.884590091589811
6,gamma,8.01479856646491
6,electron,4.7811771595256385
6,gamma,12.499825733813235
6,electron,7.972436849842314
6,positron,9.6010268702459
6,gamma,15.625075570586539
6,electron,8.229934001455426
6,electron,9.83026582426083
6,positron,9.522056956558904
6,gamma,6.041308677334848
6,electron,2.749206586000784
6,gamma,8.254648836249313
6,electron,12.189110933437536
6,electron,5.729637199291666
6,positron,4.534733712340861
6,gamma,4.036645236841323
6,electron,3.0688744197856463
6,electron,6.190126413335742
6,positron,7.012181683922364
6,gamma,10.302081325216582
6,electron,16.74450097511545
6,gamma,7.317978937346134
6,electron,10.102233407682867
6,electron,10.516164418052359
6,positron,10.686737495376594
6,gamma,10.319190501445155
6,electron,10.244587180427766
7,gamma,6.622385025576006
7,electron,9.220306211303026
7,electron,7.3427809648824764
7,positron,5.233786443591021
7,gamma,5.141692390109563
7,electron,2.512559907513987
7,gamma,11.234243157884757
7,electron,7.126251868348644
7,gamma,10.25310390309373
7,electron,1.8207558798154007
7,positron,2.095678059091285
7,gamma,3.5219677622671925
7,electron,2.096060802010604
7,gamma,4.058509426750426
7,electron,2.172358466079775
7,electron,2.0997719186035275
7,positron,1.0470873410219539
7,gamma,3.501274302868457
7,electron,3.3833157887213536
7,electron,2.635276163792292
7,positron,5.3795224026726185
7,gamma,2.975120847992175
7,electron,1.8060563115334634
7,electron,4.558208396502708
7,positron,7.941617337310528
7,gamma,3.874406861350022
7,electron,4.098029988492292
7,electron,9.052087409274293
7,positron,6.572988161312245
7,gamma,3.3323924514607874
7,electron,4.897541549994639
7,gamma,5.897592599175113
7,electron,3.9326732250857166
7,gamma,9.522056956558904
7,electron,2.1358380142709534
7,positron,3.9054706630638942
7,gamma,1.329972403944292
7,electron,1.419234182056492
7,electron,4.691998349181511
7,positron,3.5626504870678017
7,gamma,4.247685017677884
7,electron,7.941425915759653
7,gamma,1.8305351648867023
7,electron,3.899102034404964
7,electron,1.3260132358864893
7,positron,2.7106320009548335
7,gamma,1.5696576624097585
7,electron,1.4992167573758879
