Generación,Tipo,Energía (MeV)
0,electron,329.06858315020315
0,positron,670.9314168497968
1,gamma,158.44058647604186
1,electron,170.62799667416132
1,positron,670.9314168497968
2,gamma,67.05296368566104
2,electron,91.38762279038082
2,gamma,78.9970208458523
2,electron,91.63097582830902
2,gamma,389.97835168705154
2,gamma,280.9530651627453
3,gamma,3.104312911522278
3,electron,63.94865077413876
3,gamma,34.60813933277482
3,electron,56.779483457606
3,gamma,1.2738104594781405
3,electron,77.72321038637416
3,gamma,47.96008128823839
3,electron,43.67089454007063
3,electron,176.02876268252086
3,positron,213.94958900453068
3,electron,153.32875013582762
3,positron,127.62431502691769
4,electron,1.5564073298230716
4,positron,1.5479055816992062
4,gamma,26.966774852617522
4,electron,36.98187592152124
4,gamma,27.558736608796334
4,electron,7.049402723978485
4,gamma,34.64755627994034
4,electron,22.13192717766566
4,gamma,1.0547050995413851
4,electron,0.2191053599367554
4,gamma,24.73407079047337
4,electron,52.989139595900795
4,gamma,29.088211752462374
4,electron,18.871869535776018
4,gamma,19.290538767502092
4,electron,24.380355772568535
4,gamma,84.21857145513573
4,electron,91.81019122738513
4,positron,213.94958900453068
4,gamma,73.12304437849386
4,electron,80.20570575733376
4,positron,127.62431502691769
5,gamma,0.9437693942627774
5,electron,0.6126379355602942
5,positron,1.5479055816992062
5,gamma,13.451298251978734
5,electron,13.515476600638788
5,gamma,20.381232694235397
5,electron,16.60064322728584
5,electron,18.567906350805163
5,positron,8.990830257991172
5,gamma,3.620051627970466
5,electron,3.429351096008019
5,electron,10.913626651166794
5,positron,23.733929628773545
5,gamma,12.295348905385415
5,electron,9.836578272280244
5,gamma,0.5971798859018045
5,electron,0.45752521363958065
5,electron,0.2191053599367554
5,electron,8.753017226229694
5,positron,15.981053564243677
5,gamma,22.664472454259652
5,electron,30.324667141641147
5,electron,14.527922613946794
5,positron,14.56028913851558
5,gamma,10.658116073894586
5,electron,8.213753461881431
5,gamma,14.755935669155257
5,electron,4.534603098346835
5,gamma,9.021222586279839
5,electron,15.359133186288695
5,electron,54.052706609994864
5,positron,30.16586484514087
5,gamma,54.58622690448801
5,electron,37.223964322897125
5,gamma,93.8776116498355
5,gamma,120.07197735469518
5,gamma,0.32976239457673956
5,electron,72.79328198391713
5,gamma,39.102591021753575
5,electron,41.103114735580185
5,gamma,50.20358437403603
5,gamma,77.42073065288166
6,gamma,0.9437693942627774
6,electron,0.6126379355602942
6,gamma,0.6880113426763604
6,gamma,0.8598942390228457
6,electron,8.011254884344305
6,positron,5.44004336763443
6,gamma,4.507098140290824
6,electron,9.008378460347963
6,gamma,5.378173101400048
6,electron,15.00305959283535
6,gamma,6.34895203888684
6,electron,10.251691188398999
6,gamma,6.19653913878778
6,electron,12.371367212017384
6,gamma,2.930733443624462
6,gamma,6.06009681436671
6,electron,1.7830652406055165
6,positron,1.8369863873649495
6,gamma,1.5947206842151636
6,electron,1.8346304117928554
